chart_id,close_val,volume,high,chain_id,Liquity,coin_id,date_val
457,725.43,0,0,1,0,6,"2023-08-19 12:50:38"
458,725.43,0,0,1,0,6,"2023-08-19 12:51:13"
459,725.43,0,0,1,0,6,"2023-08-19 12:51:48"
460,725.43,0,0,1,0,6,"2023-08-19 12:52:23"
461,725.43,0,0,1,0,6,"2023-08-19 12:52:58"
462,725.43,0,0,1,0,6,"2023-08-19 12:53:33"
463,725.43,0,0,1,0,6,"2023-08-19 12:54:08"
464,725.43,0,0,1,0,6,"2023-08-19 12:54:43"
465,725.43,0,0,1,0,6,"2023-08-19 12:55:18"
466,725.43,0,0,1,0,6,"2023-08-19 12:55:53"
467,725.43,0,0,1,0,6,"2023-08-19 12:56:28"
468,725.43,0,0,1,0,6,"2023-08-19 12:57:03"
469,725.43,0,0,1,0,6,"2023-08-19 12:57:38"
470,725.43,0,0,1,0,6,"2023-08-19 12:58:13"
471,725.43,0,0,1,0,6,"2023-08-19 12:58:49"
472,725.43,0,0,1,0,6,"2023-08-19 12:59:23"
473,725.43,0,0,1,0,6,"2023-08-19 12:59:59"
474,725.43,0,0,1,0,6,"2023-08-19 13:00:34"
475,725.43,0,0,1,0,6,"2023-08-19 13:01:09"
476,725.43,0,0,1,0,6,"2023-08-19 13:01:44"
477,725.43,0,0,1,0,6,"2023-08-19 13:02:20"
478,725.43,0,0,1,0,6,"2023-08-19 13:02:55"
479,725.43,0,0,1,0,6,"2023-08-19 13:03:29"
480,725.43,0,0,1,0,6,"2023-08-19 13:04:04"
481,725.43,0,0,1,0,6,"2023-08-19 13:04:39"
482,725.43,0,0,1,0,6,"2023-08-19 13:05:14"
483,725.43,0,0,1,0,6,"2023-08-19 13:05:49"
484,725.43,0,0,1,0,6,"2023-08-19 13:06:24"
485,725.43,0,0,1,0,6,"2023-08-19 13:06:59"
486,725.43,0,0,1,0,6,"2023-08-19 13:07:34"
487,725.43,0,0,1,0,6,"2023-08-19 13:08:09"
488,725.43,0,0,1,0,6,"2023-08-19 13:08:44"
489,725.43,0,0,1,0,6,"2023-08-19 13:09:19"
490,725.43,0,0,1,0,6,"2023-08-19 13:09:54"
491,725.43,0,0,1,0,6,"2023-08-19 13:10:29"
492,725.43,0,0,1,0,6,"2023-08-19 13:11:05"
493,725.43,0,0,1,0,6,"2023-08-19 13:11:39"
494,725.43,0,0,1,0,6,"2023-08-19 13:12:15"
495,725.43,0,0,1,0,6,"2023-08-19 13:12:49"
496,725.43,0,0,1,0,6,"2023-08-19 13:13:24"
497,725.43,0,0,1,0,6,"2023-08-19 13:13:59"
498,4.95,17589500,4.98,1,58,2,"2023-08-19 13:14:31"
499,45.63,3053890,45.64,1,41,4,"2023-08-19 13:14:37"
500,0.200713,2126610,0.211798,1,39,5,"2023-08-19 13:14:37"
501,0.333191,57838200,0.33375,1,64,3,"2023-08-19 13:14:37"
502,0.00147704,16833.5,0.00148864,1,1,7,"2023-08-19 13:14:37"
503,725.43,0,0,1,0,6,"2023-08-19 13:14:38"
504,725.43,0,0,1,0,6,"2023-08-19 13:15:47"
505,725.43,0,0,1,0,6,"2023-08-19 13:16:23"
506,725.43,0,0,1,0,6,"2023-08-19 13:16:58"
507,725.43,0,0,1,0,6,"2023-08-19 13:17:33"
508,725.43,0,0,1,0,6,"2023-08-19 13:18:08"
509,725.43,0,0,1,0,6,"2023-08-19 13:18:43"
510,725.43,0,0,1,0,6,"2023-08-19 13:19:18"
511,725.43,0,0,1,0,6,"2023-08-19 13:19:53"
512,725.43,0,0,1,0,6,"2023-08-19 13:20:29"
513,725.43,0,0,1,0,6,"2023-08-19 13:21:03"
514,725.43,0,0,1,0,6,"2023-08-19 13:21:38"
515,725.43,0,0,1,0,6,"2023-08-19 13:22:13"
516,725.43,0,0,1,0,6,"2023-08-19 13:22:48"
517,725.43,0,0,1,0,6,"2023-08-19 13:23:23"
518,725.43,0,0,1,0,6,"2023-08-19 13:23:58"
519,725.43,0,0,1,0,6,"2023-08-19 13:24:33"
520,725.43,0,0,1,0,6,"2023-08-19 13:25:08"
521,725.43,0,0,1,0,6,"2023-08-19 13:25:43"
522,725.43,0,0,1,0,6,"2023-08-19 13:26:18"
523,725.43,0,0,1,0,6,"2023-08-19 13:26:53"
524,725.43,0,0,1,0,6,"2023-08-19 13:27:28"
525,725.43,0,0,1,0,6,"2023-08-19 13:28:03"
526,725.43,0,0,1,0,6,"2023-08-19 13:28:38"
527,0.200696,2125730,0.211798,1,39,5,"2023-08-19 13:29:14"
528,4.94,17486000,4.98,1,58,2,"2023-08-19 13:29:14"
529,45.56,3322940,45.67,1,41,4,"2023-08-19 13:29:14"
530,0.331797,44714400,0.33375,1,64,3,"2023-08-19 13:29:14"
531,0.00147556,17001.4,0.00148864,1,1,7,"2023-08-19 13:29:14"
532,725.43,0,0,1,0,6,"2023-08-19 13:30:24"
533,725.43,0,0,1,0,6,"2023-08-19 13:30:59"
534,725.43,0,0,1,0,6,"2023-08-19 13:31:35"
